WL,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110
700.0335,90.6886,95.8898,102.183,102.467,95.6826,96.7402,76.4218,93.0876,60.5814,81.7459,44.6902,89.6752,102.41,71.5038,69.797,72.6155,97.8073,51.5952,104.514,98.4424,68.9907,112.613,65.7274,107.011,101.518,99.8238,112.82,100.881,102.547,88.084,56.2516,103.419,107.09,48.2142,52.769,105.699,102.581,68.5686,95.3587,108.733,82.0984,103.181,89.9303,93.8551,63.9278,90.3233,99.3091,50.6062,88.7987,92.1451,90.6806,94.305,85.4994,96.5805,94.5281,84.8582,81.5586,85.5209,88.6593,89.3943,83.5997,74.8287,83.461,80.8613,119.434,106.924,75.3492,117.826,111.706,79.2365,102.45,114.626,110.861,113.094,120.125,107.499,113.071,94.3725,113.458,97.6538,87.4023,99.3323,89.8493,91.2422,99.4722,94.1833,92.7933,90.3055,100.539,98.8473,49.0268,93.8865,76.1282,69.7442,62.646,75.5451,98.5477,89.1327,91.1307,93.8946,100.344,97.9524,94.5722,94.2556,93.9735,93.2814,85.3785,99.2437,98.2432,97.5671
700.9977,90.534,95.7285,102.299,102.586,95.5161,96.5109,75.6506,92.9652,60.8238,81.2084,50.336,89.7812,102.538,71.7109,69.8791,72.8333,97.5051,50.0639,104.538,98.4791,67.5899,112.626,64.1498,106.828,101.464,99.6318,112.729,102.104,103.651,88.3237,55.0906,103.599,107.062,46.7382,51.199,105.694,102.763,67.8941,95.2917,108.869,81.6432,103.273,89.8521,93.7442,68.9059,90.4606,99.1223,49.5363,88.93,92.0374,90.7825,94.2674,85.1446,96.6046,94.4438,84.8607,81.1941,85.1979,88.6212,89.3847,84.4571,74.5026,83.1883,80.5568,119.488,106.711,75.6055,118.006,111.489,78.0351,102.756,114.394,111.009,113.291,120.217,107.428,113.223,94.4509,113.295,97.605,87.3055,99.2601,89.5299,91.1337,99.3735,94.1915,92.6501,90.1087,100.495,98.7728,54.0389,93.5484,76.1749,69.1884,66.0649,74.9756,98.5034,89.1515,91.0738,93.9211,100.295,97.7896,94.5947,94.1563,93.7402,93.3453,85.4298,99.1995,98.196,97.4289
701.962,90.3277,95.5038,102.411,102.639,95.3051,96.2249,74.916,92.816,61.029,80.6723,56.0495,89.8476,102.631,71.8683,69.956,73.4619,97.2052,48.6064,104.595,98.5109,66.265,112.639,62.7878,106.616,101.439,99.45,112.683,103.321,104.765,88.5863,54.0176,103.825,107.071,45.3385,49.6743,105.658,102.986,67.2325,95.2112,108.999,81.2431,103.359,89.7986,93.6217,73.8827,90.6287,98.8806,48.5207,89.0961,91.9443,90.9413,94.2776,84.8498,96.6747,94.3341,84.8886,80.8702,84.9064,88.5876,89.3736,85.3774,74.1872,82.9328,80.2769,119.548,106.436,75.9146,118.142,111.159,76.9046,103.068,114.082,111.147,113.426,120.282,107.285,113.348,94.5154,113.07,97.5555,87.1645,99.1793,89.2218,91.0037,99.2706,94.2123,92.4888,89.9064,100.438,98.7051,59.1006,93.1826,76.2522,68.6837,69.5081,74.4697,98.4773,89.2136,91.0668,93.9861,100.298,97.6227,94.6421,94.0261,93.5391,93.4615,85.5204,99.1967,98.1735,97.3122
702.9262,90.0591,95.1833,102.491,102.613,95.0182,95.8642,74.2125,92.6471,61.1941,80.1366,61.695,89.8583,102.681,71.9809,70.0374,74.4304,96.9108,47.2378,104.675,98.5426,65.0374,112.656,61.6231,106.391,101.447,99.2558,112.688,104.533,105.872,88.87,53.0347,104.089,107.099,44.0089,48.2102,105.589,103.264,66.5802,95.1268,109.115,80.9099,103.456,89.7626,93.4909,78.7291,90.8292,98.5977,47.5654,89.2832,91.868,91.1273,94.3366,84.6169,96.7705,94.1966,84.9456,80.5764,84.6421,88.553,89.3501,86.341,73.8735,82.6902,80.0148,119.594,106.119,76.231,118.206,110.719,75.8609,103.37,113.673,111.273,113.488,120.308,107.066,113.431,94.5596,112.77,97.5183,87.007,99.1164,88.9352,90.898,99.2015,94.265,92.3327,89.7208,100.381,98.6554,64.0765,92.8034,76.367,68.2275,72.8691,74.0464,98.4767,89.3363,91.1119,94.0836,100.34,97.4823,94.7199,93.8742,93.3857,93.6143,85.6454,99.237,98.1765,97.2221
703.8904,89.7217,94.7473,102.523,102.518,94.634,95.4182,73.5366,92.4689,61.3254,79.6035,67.1655,89.8124,102.697,72.0741,70.1365,75.6504,96.6074,45.9481,104.765,98.5791,63.9015,112.679,60.5896,106.154,101.467,99.0152,112.718,105.728,106.952,89.1605,52.1183,104.376,107.115,42.7189,46.804,105.49,103.597,65.9381,95.0412,109.22,80.6251,103.578,89.7194,93.3412,83.3652,91.05,98.2857,46.6545,89.4694,91.7902,91.3018,94.4208,84.4274,96.8611,94.0351,85.016,80.2832,84.3853,88.5026,89.3037,87.3304,73.5501,82.4452,79.7531,119.605,105.766,76.505,118.203,110.193,74.8927,103.652,113.175,111.394,113.492,120.295,106.783,113.468,94.5865,112.397,97.4938,86.8579,99.0888,88.668,90.8481,99.1897,94.3593,92.195,89.5525,100.338,98.6256,68.8604,92.4105,76.5068,67.8017,76.0671,73.6985,98.5039,89.5051,91.1925,94.2015,100.397,97.3835,94.8275,93.7128,93.2648,93.7673,85.7889,99.3093,98.1917,97.1532
704.8547,89.3176,94.1977,102.506,102.384,94.15,94.8872,72.8922,92.2897,61.4377,79.0804,72.3501,89.7196,102.704,72.1845,70.2504,77.0103,96.2686,44.7102,104.845,98.6173,62.8345,112.702,59.602,105.884,101.457,98.6931,112.725,106.879,107.977,89.4366,51.2297,104.672,107.082,41.4348,45.4434,105.359,103.967,65.3036,94.9459,109.327,80.3471,103.728,89.633,93.1458,87.7102,91.273,97.947,45.7551,89.6359,91.6829,91.4331,94.4965,84.2524,96.9205,93.8588,85.0713,79.9597,84.1127,88.4171,89.2312,88.3303,73.2094,82.1838,79.4737,119.58,105.371,76.707,118.172,109.619,73.9723,103.913,112.615,111.519,113.472,120.263,106.45,113.476,94.6042,111.97,97.4736,86.7281,99.1009,88.4133,90.8567,99.2358,94.4906,92.0704,89.3747,100.315,98.6087,73.3486,91.9882,76.6448,67.3851,79.026,73.4025,98.5575,89.685,91.2854,94.3238,100.45,97.3225,94.9592,93.5492,93.1424,93.8881,85.9334,99.3963,98.1982,97.0929
705.8189,88.8571,93.5577,102.457,102.251,93.58,94.2801,72.289,92.1157,61.5516,78.5814,77.1382,89.5933,102.73,72.3403,70.3399,78.3707,95.8615,43.4939,104.902,98.6391,61.8111,112.719,58.5917,105.528,101.376,98.2638,112.66,107.946,108.914,89.6806,50.3336,104.968,106.967,40.1432,44.1201,105.18,104.346,64.6646,94.8213,109.443,80.0305,103.899,89.4652,92.8688,91.6742,91.4836,97.5678,44.8293,89.7737,91.5217,91.5099,94.5375,84.068,96.94,93.6773,85.0852,79.5922,83.8128,88.2813,89.1378,89.3338,72.8516,81.9023,79.1681,119.542,104.91,76.8372,118.165,109.022,73.0733,104.168,112.016,111.651,113.47,120.24,106.072,113.488,94.621,111.504,97.4438,86.6074,99.1435,88.1647,90.8957,99.3177,94.6371,91.9348,89.1377,100.317,98.5874,77.4423,91.5106,76.7488,66.9619,81.6781,73.1313,98.6311,89.8393,91.3723,94.4317,100.49,97.2786,95.1041,93.3773,92.9805,93.9655,86.0682,99.4807,98.1755,97.0247
706.7831,88.3501,92.8568,102.404,102.157,92.939,93.6031,71.7362,91.95,61.6892,78.1234,81.4366,89.4397,102.792,72.5421,70.3298,79.5768,95.3523,42.2807,104.93,98.6123,60.8159,112.722,57.532,105.029,101.193,97.7138,112.498,108.886,109.73,89.8858,49.4171,105.266,106.739,38.8614,42.836,104.933,104.711,64.0029,94.6388,109.564,79.6464,104.075,89.1836,92.4769,95.1782,91.6776,97.1149,43.8506,89.8835,91.2948,91.5446,94.5367,83.8644,96.9323,93.4925,85.0469,79.1933,83.4939,88.0901,89.0316,90.342,72.4849,81.6096,78.8424,119.528,104.346,76.9185,118.218,108.399,72.1852,104.438,111.381,111.782,113.517,120.255,105.647,113.539,94.6423,111.002,97.3907,86.4675,99.1993,87.9192,90.9185,99.4017,94.7672,91.7567,88.7914,100.335,98.5381,81.0622,90.9492,76.792,66.5284,83.9781,72.8644,98.7135,89.9448,91.4466,94.506,100.521,97.2225,95.2484,93.1775,92.749,94.0133,86.1892,99.5505,98.1096,96.9304
707.7474,87.7951,92.111,102.37,102.116,92.2211,92.844,71.233,91.7915,61.8675,77.7183,85.1819,89.2485,102.891,72.7564,70.1444,80.4986,94.7131,41.0695,104.932,98.503,59.8473,112.71,56.4396,104.346,100.905,97.0386,112.253,109.678,110.407,90.0567,48.4953,105.568,106.378,37.6283,41.601,104.594,105.051,63.3032,94.3618,109.674,79.1901,104.244,88.7683,91.9477,98.177,91.8602,96.54,42.8124,89.9711,91.0022,91.5648,94.5032,83.6454,96.9229,93.2931,84.9622,78.7935,83.178,87.8481,88.9132,91.3565,72.1203,81.3178,78.5134,119.566,103.639,76.976,118.338,107.723,71.3135,104.738,110.679,111.891,113.616,120.317,105.148,113.643,94.6703,110.437,97.3065,86.2728,99.2504,87.6771,90.8789,99.4596,94.8542,91.5103,88.3188,100.36,98.4382,84.1621,90.2757,76.7607,66.0903,85.9086,72.5873,98.7889,89.9972,91.5091,94.5333,100.548,97.125,95.378,92.9262,92.4286,94.0562,86.2963,99.5999,97.9947,96.7908
708.7116,87.1708,91.3052,102.363,102.119,91.3823,91.9609,70.7646,91.6317,62.093,77.366,88.3451,88.9873,103.008,72.9273,69.7672,81.0862,93.9313,39.872,104.917,98.2971,58.9145,112.697,55.354,103.473,100.523,96.2309,111.969,110.32,110.944,90.2037,47.5988,105.871,105.875,36.481,40.4231,104.143,105.367,62.561,93.9442,109.758,78.6737,104.401,88.2094,91.2669,100.668,92.0407,95.7873,41.7233,90.0431,90.649,91.599,94.4517,83.4186,96.9354,93.0544,84.8417,78.42,82.8837,87.5614,88.7693,92.3691,71.7637,81.0321,78.1959,119.659,102.762,77.0189,118.5,106.953,70.4632,105.066,109.869,111.955,113.745,120.412,104.528,113.79,94.7051,109.76,97.1923,85.9921,99.2862,87.4404,90.7481,99.4809,94.8879,91.1813,87.7647,100.377,98.2778,86.7329,89.4596,76.6551,65.6546,87.4759,72.2848,98.8406,90.0045,91.5615,94.5127,100.575,96.9627,95.4817,92.6055,92.0072,94.1122,86.3905,99.6287,97.8311,96.5858
